age,mu,sigma,nu
2,16.00445849,0.07284844391,-1.824646786
2.01,16.00343181,0.07287073774,-1.825172169
2.02,16.00240001,0.07289314963,-1.825700172
2.03,16.0013631,0.07291567969,-1.826230795
2.04,16.00032109,0.07293832801,-1.826764039
2.05,15.99927398,0.07296109472,-1.827299904
2.06,15.99822178,0.0729839799,-1.827838388
2.07,15.99716451,0.07300698366,-1.828379493
2.08,15.99610218,0.07303010611,-1.828923218
2.09,15.99503479,0.07305334736,-1.829469563
2.1,15.99396238,0.0730767075,-1.830018528
2.11,15.99288495,0.07310018665,-1.830570113
2.12,15.99180253,0.07312378492,-1.831124317
2.13,15.99071511,0.0731475024,-1.831681139
2.14,15.98962273,0.07317133921,-1.83224058
2.15,15.98852541,0.07319529545,-1.832802639
2.16,15.98742316,0.07321937124,-1.833367316
2.17,15.986316,0.07324356667,-1.83393461
2.18,15.98520397,0.07326788187,-1.834504522
2.19,15.98408707,0.07329231694,-1.835077051
2.2,15.98296534,0.07331687199,-1.835652197
2.21,15.9818388,0.07334154713,-1.836229959
2.22,15.98070747,0.07336634247,-1.836810337
2.23,15.97957139,0.07339125813,-1.837393331
2.24,15.97843057,0.07341629421,-1.83797894
2.25,15.97728504,0.07344145083,-1.838567163
2.26,15.97613483,0.0734667281,-1.839158001
2.27,15.97497997,0.07349212614,-1.839751452
2.28,15.97382049,0.07351764506,-1.840347516
2.29,15.9726564,0.07354328498,-1.840946193
2.3,15.97148775,0.07356904601,-1.841547482
2.31,15.97031456,0.07359492826,-1.842151382
2.32,15.96913686,0.07362093187,-1.842757892
2.33,15.96795469,0.07364705694,-1.843367013
2.34,15.96676807,0.07367330359,-1.843978743
2.35,15.96557704,0.07369967194,-1.844593082
2.36,15.96438163,0.07372616212,-1.845210028
2.37,15.96318187,0.07375277424,-1.845829582
2.38,15.9619778,0.07377950843,-1.846451742
2.39,15.96076945,0.0738063648,-1.847076507
2.4,15.95955685,0.0738333435,-1.847703876
2.41,15.95834003,0.07386044463,-1.84833385
2.42,15.95711904,0.07388766832,-1.848966426
2.43,15.95589391,0.0739150147,-1.849601604
2.44,15.95466467,0.07394248389,-1.850239383
2.45,15.95343136,0.07397007603,-1.850879762
2.46,15.95219401,0.07399779124,-1.851522739
2.47,15.95095266,0.07402562965,-1.852168315
2.48,15.94970736,0.07405359138,-1.852816487
2.49,15.94845812,0.07408167658,-1.853467255
2.5,15.947205,0.07410988537,-1.854120617
2.51,15.94594803,0.07413821789,-1.854776573
2.52,15.94468725,0.07416667426,-1.855435121
