age,mu,sigma,nu
2,16.26054329,0.07132282458,-1.636849607
2.01,16.25885052,0.07133390261,-1.638405877
2.02,16.25714931,0.07134503763,-1.63996991
2.03,16.25543967,0.07135622968,-1.641541704
2.04,16.25372162,0.0713674788,-1.643121262
2.05,16.25199517,0.071378785,-1.644708584
2.06,16.25026034,0.07139014834,-1.64630367
2.07,16.24851715,0.07140156885,-1.647906521
2.08,16.24676562,0.07141304656,-1.649517138
2.09,16.24500578,0.07142458151,-1.651135521
2.1,16.24323765,0.07143617375,-1.652761672
2.11,16.24146126,0.0714478233,-1.65439559
2.12,16.23967664,0.07145953021,-1.656037277
2.13,16.23788384,0.0714712945,-1.657686733
2.14,16.23608287,0.07148311622,-1.659343958
2.15,16.23427378,0.07149499541,-1.661008955
2.16,16.2324566,0.07150693212,-1.662681722
2.17,16.23063137,0.07151892638,-1.664362261
2.18,16.22879813,0.07153097824,-1.666050574
2.19,16.22695692,0.07154308775,-1.667746661
2.2,16.22510779,0.07155525496,-1.669450523
2.21,16.22325078,0.07156747992,-1.671162162
2.22,16.22138592,0.07157976267,-1.672881578
2.23,16.21951327,0.07159210327,-1.674608772
2.24,16.21763286,0.07160450179,-1.676343744
2.25,16.21574475,0.07161695828,-1.678086496
2.26,16.21384897,0.07162947283,-1.679837028
2.27,16.21194558,0.0716420455,-1.68159534
2.28,16.21003463,0.07165467638,-1.683361434
2.29,16.20811616,0.07166736556,-1.685135309
2.3,16.20619022,0.07168011313,-1.686916966
2.31,16.20425686,0.07169291917,-1.688706405
2.32,16.20231614,0.07170578379,-1.690503627
2.33,16.20036811,0.07171870708,-1.692308632
2.34,16.19841282,0.07173168914,-1.694121421
2.35,16.19645033,0.07174473007,-1.695941993
2.36,16.19448069,0.07175783,-1.697770348
2.37,16.19250396,0.07177098905,-1.699606487
2.38,16.19052019,0.07178420735,-1.70145041
2.39,16.18852944,0.07179748504,-1.703302116
2.4,16.18653177,0.07181082224,-1.705161605
2.41,16.18452722,0.07182421912,-1.707028877
2.42,16.18251586,0.07183767581,-1.708903931
2.43,16.18049775,0.07185119246,-1.710786767
2.44,16.17847293,0.07186476924,-1.712677385
2.45,16.17644148,0.07187840632,-1.714575784
2.46,16.17440345,0.07189210387,-1.716481963
2.47,16.17235889,0.07190586209,-1.718395922
2.48,16.17030787,0.07191968117,-1.720317659
2.49,16.16825044,0.07193356131,-1.722247173
2.5,16.16618667,0.0719475027,-1.724184463
2.51,16.16411662,0.07196150555,-1.726129527
2.52,16.16204034,0.07197557007,-1.728082363
2.53,16.1599579,0.07198969649,-1.73004297
2.54,16.15786936,0.07200388501,-1.732011345
2.55,16.15577479,0.07201813587,-1.733987487
2.56,16.15367425,0.0720324493,-1.735971393
2.57,16.15156779,0.07204682553,-1.737963062
2.58,16.14945549,0.0720612648,-1.739962491
2.59,16.14733741,0.07207576735,-1.741969678
2.6,16.14521361,0.07209033344,-1.743984621
2.61,16.14308416,0.07210496333,-1.746007318
